Index,Fitness,Generations,Runtime,population_size,generations,cross_over_prob,mutation_prob,exponential_scaling,elite_percent,cross_over_summing
48,1343.0,319.20,4.789496,64.0,3000.0,0.4,0.60,1.0,0.1,1.0
53,1343.0,313.95,4.949619,64.0,3000.0,0.6,0.60,1.0,0.1,1.0
73,1343.0,177.65,8.005506,128.0,3000.0,0.6,0.60,1.0,0.1,1.0
42,1343.0,721.00,9.965190,64.0,3000.0,0.2,0.30,1.0,0.1,1.0
78,1343.0,244.35,11.370948,128.0,3000.0,0.8,0.60,1.0,0.1,1.0
67,1343.0,292.15,12.474425,128.0,3000.0,0.4,0.30,1.0,0.1,1.0
63,1343.0,314.55,13.237933,128.0,3000.0,0.2,0.60,1.0,0.1,1.0
68,1343.0,320.95,13.965484,128.0,3000.0,0.4,0.60,1.0,0.1,1.0
72,1343.0,319.25,14.063898,128.0,3000.0,0.6,0.30,1.0,0.1,1.0
62,1343.0,515.40,21.194259,128.0,3000.0,0.2,0.30,1.0,0.1,1.0
28,1344.4,990.20,5.904016,32.0,3000.0,0.4,0.60,1.0,0.1,1.0
79,1362.7,474.50,21.008372,128.0,3000.0,0.8,0.08,1.0,0.1,1.0
76,1365.9,388.35,17.339536,128.0,3000.0,0.8,0.10,1.0,0.1,1.0
66,1370.2,531.15,22.224891,128.0,3000.0,0.4,0.10,1.0,0.1,1.0
43,1378.7,737.95,10.963975,64.0,3000.0,0.2,0.60,1.0,0.1,1.0
32,1379.5,902.40,5.490076,32.0,3000.0,0.6,0.30,1.0,0.1,1.0
33,1381.0,951.05,6.032913,32.0,3000.0,0.6,0.60,1.0,0.1,1.0
61,1398.6,566.55,22.979474,128.0,3000.0,0.2,0.10,1.0,0.1,1.0
77,1399.3,368.25,16.816717,128.0,3000.0,0.8,0.30,1.0,0.1,1.0
74,1410.1,834.45,35.863903,128.0,3000.0,0.6,0.08,1.0,0.1,1.0
41,1410.2,1211.05,16.331266,64.0,3000.0,0.2,0.10,1.0,0.1,1.0
38,1410.6,914.80,6.139933,32.0,3000.0,0.8,0.60,1.0,0.1,1.0
52,1411.3,830.60,12.667740,64.0,3000.0,0.6,0.30,1.0,0.1,1.0
46,1416.1,1027.75,14.529213,64.0,3000.0,0.4,0.10,1.0,0.1,1.0
57,1416.4,572.95,9.153325,64.0,3000.0,0.8,0.30,1.0,0.1,1.0
64,1420.1,911.15,36.907393,128.0,3000.0,0.2,0.08,1.0,0.1,1.0
58,1420.3,591.55,9.766964,64.0,3000.0,0.8,0.60,1.0,0.1,1.0
23,1430.9,1431.75,8.030825,32.0,3000.0,0.2,0.60,1.0,0.1,1.0
71,1432.2,1046.60,45.116083,128.0,3000.0,0.6,0.10,1.0,0.1,1.0
27,1433.1,1198.70,6.873110,32.0,3000.0,0.4,0.30,1.0,0.1,1.0
22,1436.6,1258.85,6.805612,32.0,3000.0,0.2,0.30,1.0,0.1,1.0
75,1478.9,1593.35,69.906330,128.0,3000.0,0.8,0.01,1.0,0.1,1.0
47,1479.8,988.20,14.388008,64.0,3000.0,0.4,0.30,1.0,0.1,1.0
54,1499.2,1336.45,19.671165,64.0,3000.0,0.6,0.08,1.0,0.1,1.0
8,1506.8,1661.40,4.518155,16.0,3000.0,0.4,0.60,1.0,0.1,1.0
69,1531.3,1073.35,44.811728,128.0,3000.0,0.4,0.08,1.0,0.1,1.0
56,1548.9,1128.05,17.373273,64.0,3000.0,0.8,0.10,1.0,0.1,1.0
36,1557.1,1521.20,9.339566,32.0,3000.0,0.8,0.10,1.0,0.1,1.0
44,1565.3,1737.05,23.625352,64.0,3000.0,0.2,0.08,1.0,0.1,1.0
59,1565.8,1368.30,20.980242,64.0,3000.0,0.8,0.08,1.0,0.1,1.0
60,1572.6,1806.45,72.519881,128.0,3000.0,0.2,0.01,1.0,0.1,1.0
37,1574.0,1443.30,9.303237,32.0,3000.0,0.8,0.30,1.0,0.1,1.0
70,1576.2,1725.45,73.254956,128.0,3000.0,0.6,0.01,1.0,0.1,1.0
51,1577.0,1674.55,24.739201,64.0,3000.0,0.6,0.10,1.0,0.1,1.0
21,1578.9,1895.95,9.912106,32.0,3000.0,0.2,0.10,1.0,0.1,1.0
24,1579.9,1628.90,8.480545,32.0,3000.0,0.2,0.08,1.0,0.1,1.0
65,1590.6,2008.35,82.915162,128.0,3000.0,0.4,0.01,1.0,0.1,1.0
18,1590.8,1495.60,4.673225,16.0,3000.0,0.8,0.60,1.0,0.1,1.0
12,1595.7,2146.00,5.959350,16.0,3000.0,0.6,0.30,1.0,0.1,1.0
49,1626.3,1406.30,19.844222,64.0,3000.0,0.4,0.08,1.0,0.1,1.0
31,1645.8,1776.70,10.354524,32.0,3000.0,0.6,0.10,1.0,0.1,1.0
13,1669.2,1783.55,5.214940,16.0,3000.0,0.6,0.60,1.0,0.1,1.0
3,1672.7,2206.40,5.625243,16.0,3000.0,0.2,0.60,1.0,0.1,1.0
